SL. NO,COURSE NAME,STATE,NAME AND ADDRESS OF THE COLLEGE,UNIVERSITY NAME,MANAGEMENT OF THE COLLEGE,YEAR OF INCEPTION OF COLLEGE,ACTUAL INTAKE (SEATS)
187,MD - Anatomy,Andhra Pradesh,"Apollo Institute of Medical Sciences and Research, Chittoor",Dr. YSR University of Health Sciences,Society,2016,2
188,MD - General Medicine,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,4
189,MS - General Surgery,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,6
190,M.Ch - Urology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,5
191,MD - Anaesthesiology,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,18
192,MD/MS - Anatomy,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,1
193,MD - Microbiology,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,10
194,DM - Onco Pathology,Andhra Pradesh,"Homi Bhabha Cancer Hospital and Research Centre, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,2023,2
195,MS - Ophthalmology,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,1
196,MD - Pathology,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,11
197,MD - Anaesthesiology,Andhra Pradesh,"Homi Bhabha Cancer Hospital and Research Centre, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,2023,2
198,MS - General Surgery,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,29
199,MD - General Medicine,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,18
200,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,4
201,MD - Psychiatry,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,2
202,MD - Bio-Chemistry,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,4
203,MD - Physiology,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,1
204,MD - General Medicine,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,20
205,MD/MS - Ophthalmology,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,3
206,MD - Physiology,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,4
207,MD - Paediatrics,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,12
208,MD - Pathology,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,15
209,DM-Medical Oncology,Andhra Pradesh,"GSL Medical College, Rajahmundry",Dr. YSR University of Health Sciences,Trust,2002,3
210,MD/MS - Ophthalmology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,15
211,MS - General Surgery,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,18
212,"MD - Dermatology , Venereology & Leprosy",Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,10
213,MD - Radio Diagnosis/Radiology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,10
214,M.Ch - Urology/Genito-Urinary Surgery,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,4
215,MD - Bio-Chemistry,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,1
216,MD - Pathology,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,3
217,M.B.B.S.,Andhra Pradesh,"All India Institute of Medical Sciences, Mangalagiri, Vijayawada","Statutory Autonomous, AIIMS(New Delhi)",Govt.,2018,125
218,"MD - Dermatology , Venereology & Leprosy",Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,3
219,M.Ch - Neuro Surgery,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,8
220,MD - Anaesthesiology,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,17
221,M.Ch - Plastic Surgery/Plastic & Reconstructive Surgery,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,1
222,MD - Pharmacology,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,3
223,MD - Pharmacology,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,3
224,MS - Orthopaedics,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,8
225,MD - Psychiatry,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,3
226,"MD - Dermatology , Venereology & Leprosy",Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,5
227,MS - ENT,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,4
228,MD - General Medicine,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,25
229,MD - Pathology,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,4
230,MD/MS - Anatomy,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,3
231,MD - Social & Preventive Medicine / Community Medicine,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,3
232,MD - Microbiology,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,2
233,MD/MS - Ophthalmology,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,6
234,DM - Endocrinology,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,2
235,MD - Anaesthesiology,Andhra Pradesh,"Sri Venkateswara Institute of Medical Sciences (SVIMS) , Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,,9
236,MD - Physiology,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,3
237,MD - Bio-Chemistry,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,3
238,MD - Microbiology,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,2
239,MD - Emergency Medicine,Andhra Pradesh,"GSL Medical College, Rajahmundry",Dr. YSR University of Health Sciences,Trust,2002,1
240,MS - Otorhinolaryngology,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,3
241,MD/MS - Ophthalmology,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,6
242,MS - Obstetrics and Gynaecology,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,6
243,MD - Paediatrics,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,8
244,MD - Psychiatry,Andhra Pradesh,"Alluri Sitaram Raju Academy of Medical Sciences, Eluru",Dr. YSR University of Health Sciences,Trust,2000,3
245,MD - Anaesthesiology,Andhra Pradesh,"Narayana Medical College, Nellore",Dr. YSR University of Health Sciences,Trust,2000,12
246,MD - Psychiatry,Andhra Pradesh,"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam",Dr. YSR University of Health Sciences,Society,2016,3
247,MS - Obstetrics & Gynaecology,Andhra Pradesh,ACSR Government Medical College Nellore,Dr. YSR University of Health Sciences,Govt.,2014,7
248,MS - Ophthalmology,Andhra Pradesh,"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,2015,2
249,MD - Respiratory Medicine,Andhra Pradesh,"Government Medical College, Ananthapuram",Dr. YSR University of Health Sciences,Govt.,2000,5
250,M.B.B.S.,Andhra Pradesh,"Government Medical College, Paderu",Dr. YSR University of Health Sciences,Govt.,2024,50
251,"MD - Dermatology , Venereology & Leprosy",Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,2
252,MD- Biochemistry,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,2
253,MD - Psychiatry,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,3
254,MD - Radio Diagnosis,Andhra Pradesh,"Government Medical College, Ananthapuram",Dr. YSR University of Health Sciences,Govt.,2000,12
255,MD - Radiation Oncology,Andhra Pradesh,"Homi Bhabha Cancer Hospital and Research Centre, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,2023,4
256,MS - Obstetrics & Gynaecology,Andhra Pradesh,"Nimra Institute of Medical Sciences, Krishna Dist., A.P.",Dr. YSR University of Health Sciences,Society,2016,6
257,MD- Biochemistry,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Dr. YSR University of Health Sciences,Govt.,2008,3
258,M.Ch - Neuro Surgery,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,5
259,MD - Emergency Medicine,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,5
260,MD - Forensic Medicine,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Dr. YSR University of Health Sciences,Govt.,2008,3
261,"MD - Dermatology , Venereology & Leprosy",Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Dr. YSR University of Health Sciences,Govt.,2008,5
262,MD - Psychiatry,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Dr. YSR University of Health Sciences,Govt.,2008,3
263,M.Ch - Paediatric Surgery,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,3
264,MS - ENT,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Dr. YSR University of Health Sciences,Govt.,2008,5
265,MD - Radio Diagnosis,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,5
266,MS - Ophthalmology,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,5
267,MD/MS - Anatomy,Andhra Pradesh,"Government Medical College, Ananthapuram",Dr. YSR University of Health Sciences,Govt.,2000,9
268,DM - Neurology,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,5
269,MS - ENT,Andhra Pradesh,"Government Siddhartha Medical College, Vijaywada",Dr. YSR University of Health Sciences,Govt.,1980,5
270,MD - Radio Diagnosis,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,5
271,MD/MS - Anatomy,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Dr. YSR University of Health Sciences,Govt.,2008,3
272,MD - Ophthalmology,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,5
273,MD - Pathology,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,9
274,MD - Paediatrics,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,7
275,M.B.B.S.,Andhra Pradesh,"Government Medical College, Rajamahendravaram",Dr. YSR University of Health Sciences,Govt.,2023,150
276,MD - Psychiatry,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,5
277,MD - Pathology,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,9
278,MD - Community Medicine,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,9
279,MD - Radiation Oncology,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,5
280,MD - Emergency Medicine,Andhra Pradesh,"Guntur Medical College, Guntur",Dr. YSR University of Health Sciences,Govt.,1946,4
281,MS - Otorhinolaryngology,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,5
282,M.Ch - Pediatric Cardio-Thoracic Vascular Surgery,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,4
283,MD - Microbiology,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,9
284,MD - Pharmacology,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,7
285,MD - Forensic Medicine,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,5
286,MD - Respiratory Medicine,Andhra Pradesh,"Government Medical College, Kadapa",Dr. YSR University of Health Sciences,Govt.,2006,5
287,MD - Radiation Oncology,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,5
288,MD - Hospital Administration,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,5
289,MD - Psychiatry,Andhra Pradesh,"Rangaraya Medical College, Kakinada",Dr. YSR University of Health Sciences,Govt.,1958,4
290,MS - General Surgery,Andhra Pradesh,"Nimra Institute of Medical Sciences, Krishna Dist., A.P.",Dr. YSR University of Health Sciences,Society,2016,8
291,MS - Orthopaedics,Andhra Pradesh,"Nimra Institute of Medical Sciences, Krishna Dist., A.P.",Dr. YSR University of Health Sciences,Society,2016,8
292,M.B.B.S.,Andhra Pradesh,"Government Medical College, Eluru",Dr. YSR University of Health Sciences,Govt.,2023,150
293,M.B.B.S.,Andhra Pradesh,"Government Medical College, Nandyal",Dr. YSR University of Health Sciences,Govt.,2023,150
294,DM - Endocrinology,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,2
295,M.Ch - Plastic Surgery/Plastic & Reconstructive Surgery,Andhra Pradesh,"S V Medical College, Tirupati",Dr. YSR University of Health Sciences,Govt.,1960,4
296,DM - Neurology,Andhra Pradesh,"Kurnool Medical College, Kurnool",Dr. YSR University of Health Sciences,Govt.,1957,2
297,MD - Anaesthesiology,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,7
298,MS - Obstetrics & Gynaecology,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,9
299,MD - Community Medicine,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,7
300,MS - General Surgery,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,11
301,M.B.B.S.,Andhra Pradesh,"Government Medical College, Vizianagaram",Dr. YSR University of Health Sciences,Govt.,2023,150
302,MD - Radiation Oncology,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Dr. YSR University of Health Sciences,Govt.,1923,5
303,MD - Anaesthesiology,Andhra Pradesh,"Nimra Institute of Medical Sciences, Krishna Dist., A.P.",Dr. YSR University of Health Sciences,Society,2016,8
304,MD - General Medicine,Andhra Pradesh,"Nimra Institute of Medical Sciences, Krishna Dist., A.P.",Dr. YSR University of Health Sciences,Society,2016,6
305,M.B.B.S.,Andhra Pradesh,"Sri Balaji Medical College, Hospital and Research Institute, Chittoor",Dr. YSR University of Health Sciences,Trust,,150
306,MS - General Surgery,Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Dr. YSR University of Health Sciences,Govt.,2008,3
307,MD - Bio-Chemistry,Andhra Pradesh,"Government Medical College, Ongole (Previously known as Rajiv Gandhi Institute of Medical Sciences, Ongole,)",Dr. YSR University of Health Sciences,Govt.,2011,2
308,MD - Community Medicine,Andhra Pradesh,ACSR Government Medical College Nellore,Dr. YSR University of Health Sciences,Govt.,2014,2
