SL. NO,COURSE NAME,STATE,NAME AND ADDRESS OF THE COLLEGE,UNIVERSITY NAME,MANAGEMENT OF THE COLLEGE,YEAR OF INCEPTION OF COLLEGE,ACTUAL INTAKE (SEATS)
7826,MD - Paediatrics,Tamil Nadu,"E.S.I.C. Medical College & Hospital, K.K. Nagar, Chennai earlier known as ESIC Medical College & PGIMSR, K.K Nagar, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,2013,4
7827,MD - Physiology,Tamil Nadu,"Chettinad Hospital & Research Institute, Kanchipuram","Chettinad Academy of Research and Education (Deemed University), Chettinad",Trust,2006,4
7828,MD - Microbiology,Tamil Nadu,"Sree Mookambika Institute of Medical Sciences, Kanyakumari","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,2006,1
7829,MD - Microbiology,Tamil Nadu,"Chettinad Hospital & Research Institute, Kanchipuram","Chettinad Academy of Research and Education (Deemed University), Chettinad",Trust,2006,3
7830,MD - Pharmacology,Tamil Nadu,"Kilpauk Medical College, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,1960,3
7831,MD - Social & Preventive Medicine / Community Medicine,Tamil Nadu,"Chettinad Hospital & Research Institute, Kanchipuram","Chettinad Academy of Research and Education (Deemed University), Chettinad",Trust,2006,8
7832,MD/MS - Anatomy,Tamil Nadu,"Sree Mookambika Institute of Medical Sciences, Kanyakumari","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,2006,2
7833,MS - Obstetrics & Gynaecology,Tamil Nadu,"E.S.I.C. Medical College & Hospital, K.K. Nagar, Chennai earlier known as ESIC Medical College & PGIMSR, K.K Nagar, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,2013,4
7834,MD/MS - Anatomy,Tamil Nadu,"Vinayaka Missions Kirupananda Variyar Medical College, Salem","Vinayaka Missions University (Deemed), Salem",Trust,1996,2
7835,MD - Physiology,Tamil Nadu,"Sree Mookambika Institute of Medical Sciences, Kanyakumari","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,2006,2
7836,MD - Bio-Chemistry,Tamil Nadu,"Sree Mookambika Institute of Medical Sciences, Kanyakumari","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,2006,2
7837,M.B.B.S.,Tamil Nadu,"Government Villupuram Medical College, Villupuram","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,2010,100
